0,0,1.629739
0,1,1.610188
0,2,1.510122
0,4,1.306531
0,5,1.276411
0,9,1.519688
0,13,1.784136
0,14,1.782487
0,15,1.305413
0,16,1.555623
0,28,3.410404
0,29,3.274976
0,30,2.701700
0,31,2.688443
0,32,2.685417
0,34,2.907125
0,35,2.887064
0,36,2.887992
0,37,2.873250
0,38,2.877239
0,39,2.883423
0,40,2.874717
0,41,2.835828
0,44,2.864389
0,45,2.863721
0,48,2.827650
0,49,2.829425
0,50,2.566447
0,51,2.555302
0,52,2.558492
0,53,2.555363
0,54,2.553139
0,55,4.177814
0,55,2.567588
0,56,4.199152
0,56,2.788936
0,57,2.868438
0,58,2.831441
0,59,2.826737
0,60,2.850510
0,61,2.849916
0,62,2.825551
0,63,2.827183
0,64,2.834039
0,65,2.825858
0,66,2.836570
0,67,2.823034
0,68,2.839752
0,69,2.839119
0,70,2.837462

